id,cases
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,17
22,20
23,30
24,31
25,34
26,39
27,44
28,44
29,53
30,57
31,61
32,66
33,76
34,85
35,91
36,94
37,113
38,123
39,134
40,148
41,153
42,163
43,174
44,194
45,204
46,212
47,218
48,233
49,239
50,240
51,241
52,245
53,251
54,251
55,255
56,257
57,258
58,262
59,265
60,266
61,268
62,268
63,268
64,268
65,268
66,268
67,268
68,268
69,268
70,270
71,270
72,270
73,270
74,270
75,270
76,270
77,270
78,270
79,271
80,271
81,271
82,271
83,288
84,288
85,288
86,288
87,288
88,288
89,288
90,312
91,314
92,318
93,320
94,324
95,324
96,324
97,324
98,324
99,324
100,325
101,326
102,327
103,327
104,327
105,327
106,328
107,328
108,328
109,328
110,328
111,328
112,328
113,329
114,329
115,332
116,332
117,332
118,332
119,333
120,334
121,334
122,334
123,334
124,335
125,342
126,349
127,349
128,349
129,349
130,349
131,352
132,352
133,353
134,355
135,355
136,355
137,355
138,355
139,355
140,355
141,355
142,355
143,369
144,369
145,369
146,369
147,369
148,370
149,372
150,372
151,373
152,381
153,381
154,382
155,382
156,383
157,384
158,401
159,408
160,412
161,413
162,417
163,420
164,431
165,446
166,459
167,509
168,546
169,590
170,620
171,652
172,672
173,717
174,747
175,789
176,812
177,841
178,847
179,866
180,883
181,911
182,930
183,951
184,962
185,983
186,989
187,994
188,1007
189,1009
190,1014
191,1016
192,1022
193,1029
194,1034
